epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2832.17,0.78908,0.42543,0.98837,0.89726,0.92212,0.96035,0.704,0.70451,0.51121,0.75691,0.0005744,0.0005744,0.0005744
74,2870.4,0.78829,0.42641,0.97677,0.8953,0.93482,0.95318,0.68357,0.73745,0.66715,0.77512,0.0005546,0.0005546,0.0005546
75,2908.18,0.78027,0.40719,0.96886,0.91175,0.92298,0.95402,0.68074,0.76388,0.68049,0.78717,0.0005348,0.0005348,0.0005348
76,2946.21,0.78011,0.42432,0.97877,0.90702,0.90889,0.95224,0.69859,0.71277,0.65905,0.7579,0.000515,0.000515,0.000515
77,2984,0.77307,0.41794,0.96626,0.88861,0.94148,0.9517,0.69346,0.73219,0.60087,0.77119,0.0004952,0.0004952,0.0004952
78,3022.04,0.7769,0.40484,0.97317,0.90103,0.93864,0.96283,0.69994,0.70458,0.59311,0.7543,0.0004754,0.0004754,0.0004754
79,3060.01,0.8058,0.42266,0.97645,0.88705,0.93913,0.95967,0.7077,0.69614,0.6202,0.75658,0.0004556,0.0004556,0.0004556
80,3098.07,0.77438,0.41199,0.975,0.88304,0.93789,0.95741,0.69873,0.71953,0.61757,0.76554,0.0004358,0.0004358,0.0004358
81,3135.99,0.7597,0.39969,0.9669,0.91219,0.92919,0.96721,0.70898,0.69712,0.61238,0.75634,0.000416,0.000416,0.000416
82,3173.88,0.75566,0.40003,0.96256,0.90223,0.95142,0.9646,0.69869,0.71925,0.6408,0.76551,0.0003962,0.0003962,0.0003962
83,3211.83,0.73905,0.38639,0.94817,0.89465,0.93913,0.96306,0.70677,0.70523,0.60946,0.75909,0.0003764,0.0003764,0.0003764
84,3249.77,0.75918,0.38253,0.94466,0.90761,0.93416,0.96299,0.69881,0.7275,0.69382,0.77067,0.0003566,0.0003566,0.0003566
85,3287.77,0.74882,0.38922,0.96009,0.87607,0.93416,0.95072,0.69881,0.71856,0.68453,0.76754,0.0003368,0.0003368,0.0003368
86,3325.71,0.75089,0.38785,0.95846,0.8961,0.93416,0.96029,0.70951,0.69841,0.65262,0.75811,0.000317,0.000317,0.000317
87,3363.71,0.72384,0.38329,0.94547,0.89627,0.92306,0.95415,0.68895,0.72736,0.65636,0.78167,0.0002972,0.0002972,0.0002972
88,3401.6,0.72119,0.3799,0.94528,0.89716,0.94037,0.95989,0.69834,0.73073,0.65009,0.77698,0.0002774,0.0002774,0.0002774
89,3439.45,0.72341,0.38035,0.94806,0.89387,0.93168,0.94521,0.69698,0.72329,0.67867,0.78341,0.0002576,0.0002576,0.0002576
90,3477.4,0.71857,0.38449,0.94203,0.89732,0.93357,0.96055,0.70381,0.71464,0.64936,0.76552,0.0002378,0.0002378,0.0002378
91,3535.23,0.6822,0.33746,0.9518,0.90664,0.91687,0.95368,0.69471,0.72456,0.65966,0.77546,0.000218,0.000218,0.000218
92,3573.07,0.6838,0.33866,0.94752,0.89842,0.93168,0.96047,0.69735,0.73243,0.62643,0.77617,0.0001982,0.0001982,0.0001982
93,3610.72,0.66716,0.33108,0.94578,0.89749,0.93913,0.96164,0.70591,0.72079,0.62758,0.76854,0.0001784,0.0001784,0.0001784
94,3648.48,0.66318,0.32965,0.9512,0.8889,0.94425,0.9597,0.70252,0.72419,0.64901,0.77679,0.0001586,0.0001586,0.0001586
95,3686.08,0.6603,0.32059,0.93904,0.90023,0.91925,0.95726,0.69782,0.72807,0.67672,0.77798,0.0001388,0.0001388,0.0001388
96,3723.84,0.64575,0.31781,0.93378,0.90974,0.92547,0.95775,0.69968,0.72263,0.67829,0.7731,0.000119,0.000119,0.000119
97,3761.56,0.65426,0.32824,0.9359,0.90295,0.92462,0.95228,0.69895,0.71694,0.71316,0.7712,9.92e-05,9.92e-05,9.92e-05
98,3799.22,0.64709,0.3197,0.93646,0.90777,0.92795,0.95716,0.7016,0.71373,0.65012,0.77164,7.94e-05,7.94e-05,7.94e-05
99,3837,0.63203,0.312,0.92792,0.88746,0.93913,0.95711,0.70271,0.70976,0.64574,0.76858,5.96e-05,5.96e-05,5.96e-05
100,3874.88,0.64336,0.31013,0.93574,0.91229,0.9205,0.95986,0.70372,0.71332,0.6507,0.77222,3.98e-05,3.98e-05,3.98e-05
